what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232020689453
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232020711000
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232020742906
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020758953
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020758968
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020759031
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020771046
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020788125
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020788140
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020788218
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020795906
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232020811859
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020823718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020823718
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020824062
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020830093
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020833593
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020839718
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1232020870609
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1232020870828
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1232020871000
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1232020871203
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1232020877234
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020884156
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020884312
