what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1232020387250
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020398328
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020415218
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020433218
started,bundle,org.tigris.subversion.clientadapter,1.5.1,org.tigris.subversion.clientadapter,1232020442671
started,bundle,org.tigris.subversion.subclipse.core,1.4.3,org.tigris.subversion.subclipse.core,1232020442703
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.2,org.tigris.subversion.clientadapter.javahl,1232020442796
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232020444125
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020448453
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020452859
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1232020473562
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1232020473578
opened,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1232020474359
opened,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ProblemView,1232020474671
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1232020474921
started,bundle,org.tigris.subversion.subclipse.ui,1.4.4,org.tigris.subversion.subclipse.ui,1232020475000
opened,view,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui.views.tasks,1232020475187
opened,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232020475359
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1232020476953
activated,editor,com.soyatec.euml2,,com.soyatec.uml.ClassDiagramEditor,1232020493703
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020496468
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020501156
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020511890
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232020511906
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232020534140
