what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014673265
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014693125
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014693125
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014693203
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014703953
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1232014724562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014732593
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014734906
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1232014734937
activated,editor,com.soyatec.euml2,,com.soyatec.uml.ClassDiagramEditor,1232014736625
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014740906
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014740906
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014741015
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014756078
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014775031
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014775031
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014775125
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232014864312
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1232014875968
started,bundle,org.eclipse.wst.server.ui,1.1.1.v20080813,org.eclipse.wst.server.ui,1232014876031
started,bundle,org.eclipse.cdt.launch,5.0.0.200806171202,org.eclipse.cdt.launch,1232014876078
started,bundle,org.eclipse.cdt.core,5.0.0.200806171202,org.eclipse.cdt.core,1232014876453
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1232014942640
activated,editor,com.soyatec.euml2,,com.soyatec.uml.ClassDiagramEditor,1232014944234
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232014949859
