what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.undo,1232019006593
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232019135265
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019154203
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019155593
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1232019159890
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019160937
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019160953
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019161031
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019228078
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019231687
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019235671
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1232019235781
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1232019235812
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1232019235843
started,bundle,org.eclipse.ui.navigator,3.3.100.I20080606-1300,org.eclipse.ui.navigator,1232019236015
started,bundle,org.eclipse.cdt.ui,5.0.0.200806171202,org.eclipse.cdt.ui,1232019236062
started,bundle,org.eclipse.cdt.mylyn.ui,1.0.0.200806171202,org.eclipse.cdt.mylyn.ui,1232019236062
started,bundle,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.ui,1232019236078
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232019236343
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1232019236796
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1232019236812
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1232019236828
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1232019236828
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1232019236843
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1232019236859
