what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1232013857468
started,bundle,org.eclipse.jst.jsp.ui,1.1.300.v200805152207,org.eclipse.jst.jsp.ui,1232013857562
started,bundle,org.eclipse.wst.sse.core,1.1.301.v200808072008,org.eclipse.wst.sse.core,1232013857656
started,bundle,org.eclipse.jst.jsp.core,1.2.101.v200808152024,org.eclipse.jst.jsp.core,1232013857718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013858031
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.rename.element,1232013858078
activated,editor,com.soyatec.euml2,,com.soyatec.uml.ClassDiagramEditor,1232013864921
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013866046
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013882062
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1232013888859
activated,editor,com.soyatec.euml2,,com.soyatec.uml.ClassDiagramEditor,1232013892453
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013892546
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013895734
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1232013901421
activated,editor,com.soyatec.euml2,,com.soyatec.uml.ClassDiagramEditor,1232013906375
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013906437
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013909484
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013914531
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013916484
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1232013919500
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1232013926750
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1232013927812
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1232013928031
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013928281
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1232013928453
